x,y,z,color
2000,4,815.140011429,#46B206
1900,8,108.652485143,#06F701
2000,16,96.4166212857,#00FE00
2200,2,1965.70543086,#A55108
2500,1,4714.28355714,#FC0100
1700,32,478.907715571,#ED0D03
1300,8,311.061125571,#15E405
2900,16,442.927864714,#D2101C
1600,8,187.104387429,#0BF102
2000,2,649.923587571,#00FE00
2700,1,1348.60330414,#3DBB05
1800,4,931.954031286,#1DDE03
2700,1,765.437432571,#05F800
2900,32,604.226778286,#0902F3
2901,4,1482.44947643,#DD0D13
1900,4,2131.55583129,#E51404
1700,16,101.546288714,#05F801
2400,4,131.732897429,#02FC00
2700,1,226.298201,#0BF102
1700,4,1598.344295,#4BAC06
1200,32,974.620562429,#02FB00
2901,2,3457.803575,#C31228
1900,2,2088.77012971,#589E07
2300,16,3127.16439729,#0000FE
2000,2,394.984942143,#03FA00
2000,32,1918.94291471,#0100FC
1900,8,166.916971286,#00FE00
2400,4,354.773483857,#1AE103
1800,32,1674.96594429,#561197
2500,1,8681.52111371,#E20C10
1300,2,354.157602143,#20D509
2700,1,4726.715168,#FE0000
1600,2,1278.37081957,#01FD00
1200,4,308.883946143,#26CC0B
2500,16,6878.55907957,#2814C2
1900,8,1715.998025,#FE0000
2500,32,228.656344857,#F60403
2901,16,488.485377857,#B41435
2300,4,5323.85521586,#6D137E
2000,1,8393.16844629,#F90301
1800,2,225.54194,#13E604
2400,1,1155.32301871,#0BF101
1400,2,1399.19208171,#06F701
1200,1,1300.26918557,#21D309
2300,2,637.317119286,#09F401
2800,2,1119.20886129,#C13607
2500,4,722.936502714,#BA3C07
1800,16,252.615128,#1CDE03
2300,8,200.148239,#14E702
2200,32,637.664146571,#9E154A
1900,2,6527.559774,#FE0000
2901,2,798.540891857,#9E5708
1600,4,4215.49410714,#D72105
1300,4,3161.47893286,#05F800
2000,32,437.727323571,#F60403
1600,1,11849.4826076,#9C5908
2200,32,702.771652286,#8C155D
1600,2,8239.76738471,#D62205
1200,16,3356.602173,#0AF202
2901,8,706.129199,#E60A0D
1300,8,1621.10522557,#00FE00
2900,16,3695.00839943,#1F0FD0
1900,32,670.533313429,#DF0D12
2700,32,213.707856143,#EE0808
2500,1,2565.28880129,#A84D08
1300,1,8011.16956757,#00FE00
1600,4,703.257700286,#00FE00
1900,32,3103.64444271,#0200FB
2200,8,969.097049,#FC0100
2700,2,2094.10685514,#FD0100
1200,1,1165.19047386,#23D10A
1700,32,977.761022857,#EA090A
2900,16,1696.05188229,#0000FE
2800,1,7903.806374,#C91123
2901,4,601.410396714,#E81204
2300,32,331.228379571,#ED0808
2800,8,88.2025381429,#04F900
2700,8,2457.20185771,#2309D2
2000,32,73.6480068571,#16E502
2300,1,1843.462506,#2CCD04
2400,32,553.281905571,#7C146D
1700,32,723.509243143,#FD0000
1800,16,336.476078286,#48AF06
2300,32,1112.90244243,#0D03EE
1600,16,714.880630286,#678F07
1200,1,9442.53067343,#05F801
1700,8,784.832331571,#35C405
2900,4,2032.67442257,#B31436
1800,1,5452.62088357,#698D07
2200,32,1949.39596343,#0100FD
